Duration,Init,Name,Concat Size,Convergence Epoch,Layers,Learning Rate,Loss,Loss Val,Mae Test,Qubits,Rmse Test,Training Time,User,237.9682116,,209.88,265.62,,,suma total cuadr
5.8min,xavier,btc1687Xavier,16,5,4,0.0005,9.65E-05,0.000118324,534.7737616,8,583.8421063,45.8842597,52333,119628.751,47133727.91,139847.6569,,40.8321,,59.87819161
4.0min,xavier,btc1667Xavier,16,5,3,0.0005,0.000143435,0.0001543,607.542943,6,666.7155867,21.12576628,52333,183824.3116,72426778.79,208698.7533,,40.8321,,59.87819161
3.2min,xavier,btc1647Xavier,16,5,2,0.0005,9.45E-05,0.00013191,564.3605714,4,616.4501001,21.14270759,52333,143248.5399,56439924.74,165299.2463,,40.8321,,59.87819161
1.8min,xavier,btc1627Xavier,16,5,1,0.0005,0.00012417,4.56E-05,276.6113595,2,362.2641458,6.037743092,52333,15449.47927,6087094.833,23220.9279,,40.8321,,22.44959161
17.2min,xavier,sp50016127Xavier,16,8,6,0.0005,0.004961145,0.365241482,110.140705,12,113.6786334,254.5478451,52333,15447.89925,6086472.304,9254.702938,,11.4921,,32.92579161
10.5min,xavier,sp50016107Xavier,16,7,5,0.0005,0.004953125,0.367034258,110.3968587,10,113.9572857,95.40856218,52333,15378.70973,6059211.635,9201.167115,,19.2721,,588.6397916
6.0min,xavier,sp5001687Xavier,16,37,4,0.0005,0.000218666,0.153449541,69.09571821,8,73.68372837,59.35516906,52333,26989.39143,10633820.22,18549.42441,,655.8721,,1106.353992
4.2min,xavier,sp5001667Xavier,16,46,3,0.0005,0.00010761,0.146604724,66.86895889,6,72.02160204,31.19825363,52333,27538.27722,10850081.22,19004.93789,,1197.8521,,2944.353792
3.0min,xavier,sp5001647Xavier,16,67,2,0.0005,8.19E-05,0.116745843,59.22619716,4,64.27017871,16.0395658,52333,30171.00663,11887376.61,21202.22006,,3092.4721,,32.92579161
1.7min,xavier,sp5001627Xavier,16,7,1,0.0005,0.00472453,0.372154057,111.170538,2,114.7493342,5.815466166,52333,15182.89176,5982059.352,9049.843584,,19.2721,,59.87819161
22.0min,xavier,btc16126Xavier,16,5,6,0.0005,7.79E-05,0.000111739,514.3939346,12,567.3637513,552.8017199,52333,108501.4216,42749560.11,127794.6325,,40.8321,,59.87819161
12.3min,xavier,btc16106Xavier,16,5,5,0.0005,7.21E-05,9.26E-05,466.1013528,10,516.6232551,190.8448265,52333,77648.63326,30593561.5,94091.42453,,40.8321,,59.87819161
6.1min,xavier,btc1686Xavier,16,5,4,0.0005,0.00010416,0.000111624,515.8093667,8,567.0704166,47.49745512,52333,108308.2614,42673454.98,127584.9937,,40.8321,,59.87819161
4.2min,xavier,btc1666Xavier,16,5,3,0.0005,0.000128347,2.82E-05,244.1207792,6,285.2583447,23.76105428,52333,2236.356687,881124.5346,5681.894845,,40.8321,,59.87819161
3.0min,xavier,btc1646Xavier,16,5,2,0.0005,0.000143476,5.57E-05,352.9531277,4,400.7212888,12.63125205,52333,26488.56413,10436494.27,36420.3975,,40.8321,,59.87819161
1.9min,xavier,btc1626Xavier,16,5,1,0.0005,0.000148997,3.84E-05,287.1475452,2,332.5266346,6.149122477,52333,8941.295363,3522870.373,15042.19698,,40.8321,,13.97339161
17.7min,xavier,sp50016126Xavier,16,9,6,0.0005,0.00517675,0.344671419,106.8274431,12,110.4311085,275.7556348,52333,16265.71267,6408690.793,9890.082027,,5.7121,,743.2111916
13.6min,xavier,sp50016106Xavier,16,40,5,0.0005,0.000309214,0.186615138,76.11867861,10,81.25727069,281.0385416,52333,24558.319,9675977.685,16543.8065,,818.5321,,45.40199161
5.1min,xavier,sp5001686Xavier,16,6,4,0.0005,0.005311077,0.359227888,109.0961974,8,112.7389065,28.42496419,52333,15682.37884,6178857.264,9436.392038,,29.0521,,495.5921916
4.0min,xavier,sp5001666Xavier,16,35,3,0.0005,0.000148789,0.178360241,74.46882373,6,79.43974127,24.83710313,52333,25131.2759,9901722.705,17014.6611,,557.4321,,410.5445916
2.7min,xavier,sp5001646Xavier,16,33,2,0.0005,7.20E-05,0.130322381,63.18079066,4,67.90445974,11.93988395,52333,28921.67969,11395141.8,20157.05403,,466.9921,,1388.449192
1.6min,xavier,sp5001626Xavier,16,50,1,0.0005,7.80E-05,0.129487159,63.30898162,2,67.68651387,6.519488335,52333,28995.85658,11424367.49,20218.9875,,1490.7321,,59.87819161
21.2min,xavier,btc16125Xavier,16,5,6,0.0005,0.000109417,0.000118732,533.2464758,12,584.8473808,531.9104245,52333,120325.158,47408112.26,140600.5367,,40.8321,,59.87819161
11.4min,xavier,btc16105Xavier,16,5,5,0.0005,0.00011726,0.000125835,547.7514922,10,602.0865403,186.010782,52333,132582.1573,52237369.96,153825.9702,,40.8321,,59.87819161
5.0min,xavier,btc1685Xavier,16,5,4,0.0005,0.000124298,4.79E-05,327.0152943,8,371.3732478,42.21475339,52333,17796.90368,7011980.051,26080.06908,,40.8321,,59.87819161
3.8min,xavier,btc1665Xavier,16,5,3,0.0005,0.000143921,3.57E-05,276.2386991,6,320.8659854,27.24661136,52333,6872.040907,2707584.117,12317.88896,,40.8321,,59.87819161
2.6min,xavier,btc1645Xavier,16,5,2,0.0005,0.000117268,5.84E-05,365.2291552,4,410.2353796,11.4825151,52333,29675.97717,11692335,40142.27813,,40.8321,,59.87819161
1.5min,xavier,btc1625Xavier,16,5,1,0.0005,0.000113393,9.27E-05,455.658474,2,516.693961,5.58327055,52333,77688.04338,30609089.09,94134.80666,,40.8321,,45.40199161
15.6min,xavier,sp50016125Xavier,16,6,6,0.0005,0.005148133,0.369683782,110.7256503,12,114.36786,204.2167363,52333,15277.04691,6019156.484,9122.568889,,29.0521,,32.92579161
9.7min,xavier,sp50016105Xavier,16,7,5,0.0005,0.004878773,0.361185115,109.4425545,10,113.0456141,90.88740253,52333,15605.65537,6148628.215,9376.898297,,19.2721,,203.4017916
